Data as of,Start week,End Week,HHS Region,State,Place of Death,Age group,COVID-19 Deaths,Total Deaths,Pneumonia Deaths,Pneumonia and COVID-19 Deaths,Influenza Deaths,"Pneumonia, Influenza, or COVID-19 Deaths",Footnote
2/17/2021,1/4/2020,2/13/2021,0,United States,All places of death,All ages,458803,3678779,401866,219123,9034,649391,
2/17/2021,1/4/2020,2/13/2021,0,United States,Decedent's home,0-14 years,7,3853,73,0,20,100,
2/17/2021,1/4/2020,2/13/2021,0,United States,Decedent's home,15-44 years,1483,72899,1030,275,141,2339,
2/17/2021,1/4/2020,2/13/2021,0,United States,Decedent's home,45-64 years,6495,248493,4191,1129,582,9852,
2/17/2021,1/4/2020,2/13/2021,0,United States,Decedent's home,65-74 years,5629,257701,4706,1263,373,9243,
2/17/2021,1/4/2020,2/13/2021,0,United States,Decedent's home,75-84 years,7047,297766,6937,2025,323,12107,
2/17/2021,1/4/2020,2/13/2021,0,United States,Decedent's home,85 years and over,8975,338706,9652,2817,279,15942,
2/17/2021,1/4/2020,2/13/2021,0,United States,Decedent's home,All ages,29636,1219418,26589,7509,1718,49583,
2/17/2021,1/4/2020,2/13/2021,0,United States,"Healthcare setting, dead on arrival",0-14 years,2,241,7,2,2,9,
2/17/2021,1/4/2020,2/13/2021,0,United States,"Healthcare setting, dead on arrival",15-44 years,31,2251,13,4,2,42,
2/17/2021,1/4/2020,2/13/2021,0,United States,"Healthcare setting, dead on arrival",45-64 years,107,3128,80,32,3,158,
2/17/2021,1/4/2020,2/13/2021,0,United States,"Healthcare setting, dead on arrival",65-74 years,97,1930,58,29,2,128,
2/17/2021,1/4/2020,2/13/2021,0,United States,"Healthcare setting, dead on arrival",75-84 years,86,1566,63,21,6,134,
2/17/2021,1/4/2020,2/13/2021,0,United States,"Healthcare setting, dead on arrival",85 years and over,76,1185,42,18,2,102,
2/17/2021,1/4/2020,2/13/2021,0,United States,"Healthcare setting, dead on arrival",All ages,399,10301,263,106,17,573,
2/17/2021,1/4/2020,2/13/2021,0,United States,"Healthcare setting, inpatient",0-14 years,94,18381,286,17,94,457,
2/17/2021,1/4/2020,2/13/2021,0,United States,"Healthcare setting, inpatient",15-44 years,8316,57605,8453,4484,476,12745,
2/17/2021,1/4/2020,2/13/2021,0,United States,"Healthcare setting, inpatient",45-64 years,59626,251481,58419,34889,1620,84724,
2/17/2021,1/4/2020,2/13/2021,0,United States,"Healthcare setting, inpatient",65-74 years,76465,275772,75046,45891,1301,106843,
2/17/2021,1/4/2020,2/13/2021,0,United States,"Healthcare setting, inpatient",75-84 years,85194,291190,85127,51819,1242,119674,
2/17/2021,1/4/2020,2/13/2021,0,United States,"Healthcare setting, inpatient",85 years and over,64683,233618,68161,38845,974,94926,
2/17/2021,1/4/2020,2/13/2021,0,United States,"Healthcare setting, inpatient",All ages,294378,1128047,295492,175945,5707,419369,
2/17/2021,1/4/2020,2/13/2021,0,United States,"Healthcare setting, outpatient or emergency room",0-14 years,34,5324,135,5,48,212,
2/17/2021,1/4/2020,2/13/2021,0,United States,"Healthcare setting, outpatient or emergency room",15-44 years,965,33296,694,216,55,1497,
2/17/2021,1/4/2020,2/13/2021,0,United States,"Healthcare setting, outpatient or emergency room",45-64 years,3956,60946,2637,1153,122,5554,
2/17/2021,1/4/2020,2/13/2021,0,United States,"Healthcare setting, outpatient or emergency room",65-74 years,3424,46362,2727,1140,68,5078,
2/17/2021,1/4/2020,2/13/2021,0,United States,"Healthcare setting, outpatient or emergency room",75-84 years,3612,41661,3020,1301,57,5384,
2/17/2021,1/4/2020,2/13/2021,0,United States,"Healthcare setting, outpatient or emergency room",85 years and over,3013,31032,2878,1127,37,4801,
2/17/2021,1/4/2020,2/13/2021,0,United States,"Healthcare setting, outpatient or emergency room",All ages,15004,218621,12091,4942,387,22526,
2/17/2021,1/4/2020,2/13/2021,0,United States,Hospice facility,0-14 years,0,86,4,0,1,5,
2/17/2021,1/4/2020,2/13/2021,0,United States,Hospice facility,15-44 years,48,3868,132,17,2,165,
2/17/2021,1/4/2020,2/13/2021,0,United States,Hospice facility,45-64 years,802,33533,1643,352,54,2146,
2/17/2021,1/4/2020,2/13/2021,0,United States,Hospice facility,65-74 years,1907,46409,3044,897,77,4129,
2/17/2021,1/4/2020,2/13/2021,0,United States,Hospice facility,75-84 years,4243,62306,5456,2180,133,7647,
2/17/2021,1/4/2020,2/13/2021,0,United States,Hospice facility,85 years and over,6374,74679,7462,3126,146,10850,
2/17/2021,1/4/2020,2/13/2021,0,United States,Hospice facility,All ages,13374,220881,17741,6572,413,24942,
2/17/2021,1/4/2020,2/13/2021,0,United States,Nursing home/longterm care facility,0-14 years,1,23,3,0,0,4,
2/17/2021,1/4/2020,2/13/2021,0,United States,Nursing home/longterm care facility,15-44 years,130,1983,147,35,1,243,
2/17/2021,1/4/2020,2/13/2021,0,United States,Nursing home/longterm care facility,45-64 years,3186,33555,1994,796,39,4421,
2/17/2021,1/4/2020,2/13/2021,0,United States,Nursing home/longterm care facility,65-74 years,10049,76678,4865,2208,73,12776,
2/17/2021,1/4/2020,2/13/2021,0,United States,Nursing home/longterm care facility,75-84 years,25451,164856,11304,5803,156,31103,
2/17/2021,1/4/2020,2/13/2021,0,United States,Nursing home/longterm care facility,85 years and over,57911,357123,24993,12703,382,70565,
2/17/2021,1/4/2020,2/13/2021,0,United States,Nursing home/longterm care facility,All ages,96728,634218,43306,21545,651,119112,
2/17/2021,1/4/2020,2/13/2021,0,United States,Other,0-14 years,3,1543,13,0,3,19,
2/17/2021,1/4/2020,2/13/2021,0,United States,Other,15-44 years,253,54881,291,50,16,509,
2/17/2021,1/4/2020,2/13/2021,0,United States,Other,45-64 years,857,49658,789,242,33,1431,
2/17/2021,1/4/2020,2/13/2021,0,United States,Other,65-74 years,1050,28846,869,325,30,1616,
2/17/2021,1/4/2020,2/13/2021,0,United States,Other,75-84 years,2165,38264,1503,634,23,3056,
2/17/2021,1/4/2020,2/13/2021,0,United States,Other,85 years and over,4778,70845,2813,1203,33,6419,
2/17/2021,1/4/2020,2/13/2021,0,United States,Other,All ages,9106,244037,6278,2454,138,13050,
2/17/2021,1/4/2020,2/13/2021,0,United States,Place of death unknown,0-14 years,0,29,0,0,0,0,
2/17/2021,1/4/2020,2/13/2021,0,United States,Place of death unknown,15-44 years,5,487,2,1,0,6,
2/17/2021,1/4/2020,2/13/2021,0,United States,Place of death unknown,45-64 years,21,719,13,5,0,29,
2/17/2021,1/4/2020,2/13/2021,0,United States,Place of death unknown,65-74 years,33,519,22,12,2,45,
2/17/2021,1/4/2020,2/13/2021,0,United States,Place of death unknown,75-84 years,43,608,29,11,0,61,
2/17/2021,1/4/2020,2/13/2021,0,United States,Place of death unknown,85 years and over,76,894,40,21,1,95,
2/17/2021,1/4/2020,2/13/2021,0,United States,Place of death unknown,All ages,178,3256,106,50,3,236,
2/17/2021,1/4/2020,2/13/2021,1,Connecticut,All places of death,All ages,6625,38789,3349,1744,92,8319,
2/17/2021,1/4/2020,2/13/2021,1,Connecticut,Decedent's home,0-14 years,0,,0,0,0,0,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
2/17/2021,1/4/2020,2/13/2021,1,Connecticut,Decedent's home,15-44 years,,598,,0,0,11,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
2/17/2021,1/4/2020,2/13/2021,1,Connecticut,Decedent's home,45-64 years,36,2109,,,,44,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
